Galaxy,mu_TRGB,sigma_TRGB,mu_JAGB,sigma_JAGB,Delta_mu,Delta_sigma
M101,29.151,0.042,29.208,0.045,0.057,0.062
NGC1365,31.366,0.069,31.384,0.039,0.018,0.079
NGC2442,31.646,0.097,31.605,0.044,-0.041,0.106
NGC4536,30.923,0.052,30.971,0.034,0.048,0.062
NGC4639,31.774,0.073,31.733,0.039,-0.041,0.082
NGC5643,30.643,0.071,30.582,0.038,-0.061,0.080
NGC7250,31.629,0.047,31.592,0.043,-0.037,0.063
