Excluded,H0,Sigma,Delta_H0,Delta_Sigma
JAGB,67.4626127335389,0.5106395089927787,-0.017807301479635385,0.009224189899441848
Cosmic Chronometers (H(z)),67.38392091986711,0.5291261030648426,-0.09649911515143117,0.027710783971505837
Planck CMB,68.2338711343466,1.3507404966635512,0.7534510993280605,0.8493251775702144
