rho,sigma_sys,increase_percent,sigma_total,tension
0.0000,2.1865,-10.8098,2.3283,1.1255
0.1000,2.1845,-10.8924,2.3264,1.1264
0.2000,2.1867,-10.8015,2.3285,1.1254
0.3000,2.1827,-10.9663,2.3247,1.1271
0.4000,2.1787,-11.1272,2.3210,1.1288
0.5000,2.1761,-11.2342,2.3185,1.1300
