# Systematic Budget Summary: Uncorrelated vs Correlated Propagation
# Generated by: Quadrature sum (uncorrelated) vs covariance matrix propagation (correlated)
# Key result: Correlation increases σ_sys from 1.45 → 1.71 km/s/Mpc (18% inflation factor)
# Columns: Quantity (σ_sys uncorr/corr, inflation, σ_stat, σ_total), Value_km_s_Mpc, Notes
# Last updated: 2025-11-19 (v8.7)
Quantity,Value_km_s_Mpc,Notes
σ_sys (uncorrelated),1.449137674618944,Quadrature sum assuming independence
σ_sys (correlated),1.7131841699011814,Correlated propagation: σᵀRσ
Inflation factor,1.1822093924593255,Correlated / Uncorrelated
σ_stat,0.8,Statistical uncertainty (fixed)
σ_total,1.8907670401189038,Combined systematic + statistical
