Stage,H0_km_s_Mpc,Sigma_km_s_Mpc,Tension_sigma,Description
Statistical only,73.04,0.8,5.884825585937109,Baseline SH0ES H₀ with statistical uncertainty only
Quoted SH0ES sys. + stat.,73.04,1.312097557348538,4.003177756211232,Reconstructed from SH0ES statistical uncertainty plus quoted systematic budget
Scenario A parallax,73.04,1.312097557348538,4.003177756211232,"Scenario A: adopt SH0ES internal parallax ZP, no bias correction"
After period distribution,70.54,1.6497272501841025,1.8319479940237553,Period distribution correction −2.5 km/s/Mpc (mid-range of bracket)
After metallicity + realistic σ,69.54,1.8878824115924169,1.110209338021604,Metallicity correction −1.0 km/s/Mpc (Prior 1) + realistic correlated σ_sys = 1.71
