# Hierarchical Bayesian Fit Results for Cosmic Chronometer H(z) Data
# Generated by: analysis/hierarchical_priors_meta_analysis.py
# Key result: Baseline H₀ = 69.30 ± 1.22 km/s/Mpc with minimal intrinsic scatter (σ_int = 0.0)
# Columns: model (baseline/hierarchical), H0, se_H0, sigma_int, chi2_red, ndof
# Last updated: 2025-11-19 (v8.7)
model,H0,se_H0,sigma_int,chi2_red,ndof
baseline_unscaled,69.30,1.22,0.0,0.963,31
hierarchical,69.30,1.22,0.00,0.995,30
