parameter,pooled_mean,pooled_se,tau,total_sd,I_squared
Delta_varpi,0.017113050706566914,0.004660844248096608,0.0,0.004660844248096608,0.0
gamma_metal,-0.34343283582089545,0.055410851584753215,0.0,0.055410851584753215,0.0
beta1,-3.3,0.1,0.05,0.1118033988749895,
beta2,-2.8,0.15,0.08,0.16999999999999998,
log_Pbreak,1.0,0.1,0.05,0.1118033988749895,
