bias_km_s_Mpc
4.0146
3.4154
4.3219
3.8984
4.5353
3.8944
3.7116
3.6328
3.2089
3.6771
2.8507
3.4475
3.7185
1.9964
2.3512
4.3065
5.3678
3.6615
4.1974
3.2505
4.7195
4.3437
4.7295
4.8029
3.2994
3.4836
3.8505
3.0374
4.1358
3.2627
3.9006
3.3456
2.7248
2.8233
3.6147
4.7111
3.0863
3.2076
3.2010
3.4962
4.3196
3.8558
3.4908
3.5433
3.3129
4.6220
3.3143
4.2780
3.4500
4.9624
5.0833
4.9858
3.7334
3.5384
4.2235
4.4648
4.1016
4.4858
4.0800
4.0924
4.0970
3.7675
3.0825
3.6866
2.8261
4.6114
3.2243
2.5772
3.0887
3.4304
2.0514
6.1272
3.8363
4.6565
1.8758
3.6006
2.9733
4.6192
5.5055
4.0140
2.6287
3.0161
2.4029
3.4794
3.8620
3.5615
6.4327
5.3291
2.6908
5.0810
2.9948
3.2248
4.3881
4.1044
3.1146
2.9703
3.5749
3.8562
3.1150
4.3997
