Fit_Type,H0_km_s_Mpc,H0_err_km_s_Mpc,chi2,dof,chi2_red,error_scale_factor
Standard,68.33304818689737,1.565189398251633,14.536374592302202,31,0.4689153094291033,1.0
Random_Effects,68.33304818783989,1.0718008647080268,31.0,31,1.0,0.684773911177334
