correlation_pair,rho_value,sigma_sys_corr,delta_sigma,rel_change_pct
crowding_reddening,0.3,2.898620361482338,-0.05129489153765343,-1.7388598362322447
crowding_reddening,0.39999999999999997,2.924380276229478,-0.02553497679051331,-0.8656173008486172
crowding_reddening,0.5,2.9499152530199915,0.0,0.0
crowding_reddening,0.6,2.975231083462258,0.025315830442266485,0.8581883976615691
crowding_reddening,0.7,3.000333314816872,0.050418061796880576,1.7091359402703117
metallicity_reddening,0.1,2.9158189244190043,-0.034096328600987214,-1.155840953942013
metallicity_reddening,0.2,2.9329166370696593,-0.01699861595033214,-0.5762408236280591
metallicity_reddening,0.30000000000000004,2.9499152530199915,0.0,0.0
metallicity_reddening,0.4,2.9668164756182676,0.01690122259827609,0.5729392592201885
metallicity_reddening,0.5,2.9836219599674485,0.03370670694745703,1.1426330608294462
period_metallicity,0.0,2.8639134065121454,-0.08600184650784604,-2.915400583789693
period_metallicity,0.1,2.898620361482338,-0.05129489153765343,-1.7388598362322447
period_metallicity,0.2,2.9329166370696593,-0.01699861595033214,-0.5762408236280591
period_metallicity,0.30000000000000004,2.966816475618268,0.016901222598276533,0.5729392592202036
period_metallicity,0.4,3.000333314816872,0.050418061796880576,1.7091359402703117
