Method,H0_km_s_Mpc,Sigma_H0,Omega_m,Sigma_Omega_m,Chi2_red
Fixed Omega_m (Planck),68.33304818689737,1.565189398251633,0.315,0.0,0.4689153094291033
"2D Fit (H0, Omega_m)",68.15201395507798,3.0773117024262544,0.3190250446882238,0.059170644957491046,0.48438878288213927
Marginalized (flat prior),68.10835436019397,2.063540537176321,,,
